kind,first_name,last_name,preferred_name,email,role,team,office,start_date,birthday,manager_email,client_since,client_company,relationship_owner_email,address_line1,address_line2,town,postcode,deliver_to,opt_out,status,leave_reason,leave_until,public_facts,private_notes,sign_as,preferred_signature,voice_sample,milestones
client,Harriet,Kettlewell,,harriet.kettlewell@kettlewellcoffeeroasters.co.uk,Founder,,,,,,2020-03-16,Kettlewell Coffee Roasters,aisha-rahman@hartleycrane.co.uk,"Unit 4, Dean Clough Mills",,Halifax,HX3 5AX,client-registered,,active,,,Grew from one roastery to three in six years | Aisha advised on the 2024 growth funding,,,,,2026-10-08:Opening of the third roastery in Harrogate
client,Frank,Lister,,frank.lister@listersonshaulage.co.uk,Managing Director,,,,,,2019-10-09,Lister & Sons Haulage,tom-whitfield@hartleycrane.co.uk,Lister Yard,Whitehall Road,Leeds,LS12 6ER,client-registered,,active,,,Third-generation family business | Audit client since 2019,,,,,
client,Tariq,Shah,,tariq.shah@fenwickmarineltd.co.uk,Financial Controller,,,,,,2022-10-21,Fenwick Marine Ltd,james-hartley@hartleycrane.co.uk,"Fenwick Marine Ltd, 97 The Crescent",,Manchester,M2 4IJ,client-registered,,active,,,Expanded into a second site in 2025,,,,,
client,Jacob,Wood,,jacob.wood@ashworthdentalgroup.co.uk,Financial Controller,,,,,,2013-11-09,Ashworth Dental Group,james-hartley@hartleycrane.co.uk,"Ashworth Dental Group, 96 Church Street",,Sheffield,S4 7FR,client-registered,,active,,,Family business now in its second generation,,,,,
client,Kenji,Harris,,kenji.harris@penninetimberframes.co.uk,Finance Director,,,,,,2014-01-02,Pennine Timber Frames,nadia-crane@hartleycrane.co.uk,"Pennine Timber Frames, 57 Station Road",,Sheffield,S2 7XS,client-registered,,active,,,,,,,,
client,Amelia,Doyle,,amelia.doyle@caldervalleybrewing.co.uk,Operations Director,,,,,,2013-03-10,Calder Valley Brewing,mark-ellison@hartleycrane.co.uk,"Calder Valley Brewing, 23 Church Street",,Bradford,BD40 4RH,client-registered,,active,,,Long-standing audit client,,,,,
client,Ines,Dubois,,ines.dubois@ribbleprintworks.co.uk,Chief Executive,,,,,,2024-01-03,Ribble Print Works,james-hartley@hartleycrane.co.uk,"Ribble Print Works, 28 Park Avenue",,Stockport,SK9 2XP,client-registered,,active,,,,,,,,
client,Niamh,Hussain,,niamh.hussain@marsdenveterinarypractice.co.uk,Operations Director,,,,,,2013-09-15,Marsden Veterinary Practice,tom-whitfield@hartleycrane.co.uk,"Marsden Veterinary Practice, 16 Mill Lane",,Bolton,BL13 5SL,client-registered,,active,,,Long-standing audit client,,,,,
client,Aisha,Evans,,aisha.evans@northgateproperty.co.uk,Owner,,,,,,2019-02-06,Northgate Property,james-hartley@hartleycrane.co.uk,"Northgate Property, 68 The Crescent",,Warrington,WA18 4OC,client-registered,,active,,,,,,,,
client,Kwame,Holm,,kwame.holm@aireengineering.co.uk,Operations Director,,,,,,2021-05-18,Aire Engineering,tom-whitfield@hartleycrane.co.uk,"Aire Engineering, 58 Station Road",,Leeds,LS15 4CX,client-registered,,active,,,,,,,,
client,Amelia,Begum,,amelia.begum@holroydfasteners.co.uk,Owner,,,,,,2013-03-13,Holroyd Fasteners,tom-whitfield@hartleycrane.co.uk,"Holroyd Fasteners, 7 High Street",,Bradford,BD17 2KN,client-registered,,active,,,Family business now in its second generation,,,,,
client,Rhys,Ward,,rhys.ward@whitworthtextiles.co.uk,Owner,,,,,,2012-01-11,Whitworth Textiles,mark-ellison@hartleycrane.co.uk,"Whitworth Textiles, 83 Victoria Road",,Manchester,M6 9EC,client-registered,,active,,,,,,,,
client,Maryam,Holm,,maryam.holm@saddleworthcheeseco.co.uk,Owner,,,,,,2015-06-06,Saddleworth Cheese Co,james-hartley@hartleycrane.co.uk,"Saddleworth Cheese Co, 67 The Crescent",,Manchester,M4 4WM,client-registered,,active,,,,,,,,
client,Lily,Singh,,lily.singh@tamevalleymotors.co.uk,Operations Director,,,,,,2025-08-02,Tame Valley Motors,mark-ellison@hartleycrane.co.uk,"Tame Valley Motors, 84 Mill Lane",,Chester,CH24 7OI,client-registered,,active,,,,,,,,
client,Omar,Hughes,,omar.hughes@clitheroeglass.co.uk,Chief Executive,,,,,,2023-11-09,Clitheroe Glass,mark-ellison@hartleycrane.co.uk,"Clitheroe Glass, 75 High Street",,Manchester,M36 9YU,client-registered,,active,,,,,,,,
client,Rohan,Dubois,,rohan.dubois@bowlandoutdoor.co.uk,Owner,,,,,,2024-11-18,Bowland Outdoor,nadia-crane@hartleycrane.co.uk,"Bowland Outdoor, 38 High Street",,Manchester,M30 8DO,client-registered,,active,,,,,,,,
client,Oliver,Khan,,oliver.khan@wharfedalewindows.co.uk,Owner,,,,,,2012-01-08,Wharfedale Windows,mark-ellison@hartleycrane.co.uk,"Wharfedale Windows, 67 High Street",,Leeds,LS36 1FI,client-registered,,active,,,,,,,,
client,Freya,Turner,,freya.turner@hebdenbridgebooks.co.uk,Finance Director,,,,,,2018-01-12,Hebden Bridge Books,aisha-rahman@hartleycrane.co.uk,"Hebden Bridge Books, 64 Victoria Road",,Bradford,BD40 8ZE,client-registered,,active,,,Long-standing audit client,,,,,
client,Poppy,Moreau,,poppy.moreau@peakprecisiontooling.co.uk,Managing Director,,,,,,2021-12-13,Peak Precision Tooling,james-hartley@hartleycrane.co.uk,"Peak Precision Tooling, 36 Church Street",,Leeds,LS29 7QC,client-registered,,active,,,Moved to cloud bookkeeping with us in 2023,,,,,
client,Isla,Kaur,,isla.kaur@ilkleyinteriors.co.uk,Founder,,,,,,2011-08-13,Ilkley Interiors,mark-ellison@hartleycrane.co.uk,"Ilkley Interiors, 67 Station Road",,Bolton,BL32 8KN,client-registered,,active,,,Family business now in its second generation,,,,,
client,Omar,Wood,,omar.wood@knutsfordkitchens.co.uk,Founder,,,,,,2010-10-20,Knutsford Kitchens,james-hartley@hartleycrane.co.uk,"Knutsford Kitchens, 117 Mill Lane",,Chester,CH39 7SX,client-registered,,active,,,,,,,,
client,Lily,Moore,,lily.moore@rochdaleroofing.co.uk,Financial Controller,,,,,,2020-03-26,Rochdale Roofing,nadia-crane@hartleycrane.co.uk,"Rochdale Roofing, 69 High Street",,Leeds,LS36 2YQ,client-registered,,active,,,Won a regional business award last year,,,,,
client,Aoife,Quinn,,aoife.quinn@otleyosteopaths.co.uk,Operations Director,,,,,,2024-11-08,Otley Osteopaths,james-hartley@hartleycrane.co.uk,"Otley Osteopaths, 69 High Street",,Sheffield,S6 9FW,client-registered,,active,,,Long-standing audit client,,,,,
client,Rosie,Holm,,rosie.holm@salesportsphysio.co.uk,Founder,,,,,,2023-09-09,Sale Sports Physio,tom-whitfield@hartleycrane.co.uk,"Sale Sports Physio, 91 Mill Lane",,York,YO16 9KH,client-registered,,active,,,,,,,,
client,Ella,Okonkwo,,ella.okonkwo@didsburydental.co.uk,Operations Director,,,,,,2024-02-08,Didsbury Dental,tom-whitfield@hartleycrane.co.uk,"Didsbury Dental, 112 Moor Lane",,Sheffield,S6 4DF,client-registered,,active,,,Won a regional business award last year,,,,,
client,Ava,Cooper,,ava.cooper@altrinchamarchitects.co.uk,Founder,,,,,,2017-02-07,Altrincham Architects,nadia-crane@hartleycrane.co.uk,"Altrincham Architects, 63 The Crescent",,Bolton,BL7 3YV,client-registered,,active,,,Won a regional business award last year,,,,,
client,Leo,Shah,,leo.shah@halifaxheating.co.uk,Financial Controller,,,,,,2014-05-27,Halifax Heating,mark-ellison@hartleycrane.co.uk,"Halifax Heating, 111 Mill Lane",,York,YO19 1ZA,client-registered,,active,,,Won a regional business award last year,,,,,
client,Dylan,Kelly,,dylan.kelly@skiptonstone.co.uk,Founder,,,,,,2013-12-09,Skipton Stone,mark-ellison@hartleycrane.co.uk,"Skipton Stone, 34 Oak Drive",,Manchester,M11 1UI,client-registered,,active,,,Won a regional business award last year,,,,,
client,Bethan,Berg,,bethan.berg@chorleycoldstorage.co.uk,Owner,,,,,,2019-04-16,Chorley Cold Storage,james-hartley@hartleycrane.co.uk,"Chorley Cold Storage, 95 Moor Lane",,Leeds,LS10 4UA,client-registered,,active,,,,,,,,
client,Mateusz,Ali,,mateusz.ali@burybakehouse.co.uk,Operations Director,,,,,,2024-04-08,Bury Bakehouse,tom-whitfield@hartleycrane.co.uk,"Bury Bakehouse, 46 The Crescent",,Bolton,BL11 4BC,client-registered,,active,,,Family business now in its second generation,,,,,
client,Chen,Ward,,chen.ward@wiganwireproducts.co.uk,Owner,,,,,,2011-05-21,Wigan Wire Products,aisha-rahman@hartleycrane.co.uk,"Wigan Wire Products, 119 Victoria Road",,Bradford,BD22 8OQ,client-registered,,active,,,Long-standing audit client,,,,,
client,Anjali,Bell,,anjali.bell@ramsbottomremovals.co.uk,Finance Director,,,,,,2023-05-20,Ramsbottom Removals,james-hartley@hartleycrane.co.uk,"Ramsbottom Removals, 120 Oak Drive",,Harrogate,HG19 1AJ,client-registered,,active,,,,,,,,
client,Noah,Wright,,noah.wright@todmordentextiles.co.uk,Owner,,,,,,2014-09-06,Todmorden Textiles,aisha-rahman@hartleycrane.co.uk,"Todmorden Textiles, 8 Moor Lane",,Stockport,SK17 7XY,client-registered,,active,,,Won a regional business award last year,,,,,
client,Niamh,Petrov,,niamh.petrov@prestwichpharmacy.co.uk,Chief Executive,,,,,,2020-11-17,Prestwich Pharmacy,aisha-rahman@hartleycrane.co.uk,"Prestwich Pharmacy, 65 Moor Lane",,Bradford,BD37 2WX,client-registered,,active,,,Won a regional business award last year,,,,,
client,Ella,Tanaka,,ella.tanaka@macclesfieldmedia.co.uk,Chief Executive,,,,,,2018-08-28,Macclesfield Media,nadia-crane@hartleycrane.co.uk,"Macclesfield Media, 92 Park Avenue",,Bradford,BD11 8LE,client-registered,,active,,,Family business now in its second generation,,,,,
client,Tariq,Jensen,,tariq.jensen@buxtonbottling.co.uk,Operations Director,,,,,,2019-04-12,Buxton Bottling,aisha-rahman@hartleycrane.co.uk,"Buxton Bottling, 113 Oak Drive",,Leeds,LS5 7QL,client-registered,,active,,,,,,,,
client,Dylan,Quinn,,dylan.quinn@glossopgardencentre.co.uk,Financial Controller,,,,,,2015-08-17,Glossop Garden Centre,mark-ellison@hartleycrane.co.uk,"Glossop Garden Centre, 57 Park Avenue",,York,YO7 4SC,client-registered,,active,,,Won a regional business award last year,,,,,
client,Chen,Green,,chen.green@hydehydraulics.co.uk,Finance Director,,,,,,2022-04-14,Hyde Hydraulics,james-hartley@hartleycrane.co.uk,"Hyde Hydraulics, 28 Park Avenue",,Warrington,WA18 1YX,client-registered,,active,,,,,,,,
client,Ewan,Doyle,,ewan.doyle@ashtonautoparts.co.uk,Finance Director,,,,,,2018-06-25,Ashton Auto Parts,james-hartley@hartleycrane.co.uk,"Ashton Auto Parts, 72 Canal Street",,York,YO29 4CN,client-registered,,active,,,Won a regional business award last year,,,,,
